timestamp,x,y,z,w
1517145457858522,0.134399,-0.115662,0.973633,-0.143494
1517145457880527,0.134399,-0.115601,0.973633,-0.14325
1517145457901588,0.134338,-0.115601,0.973694,-0.143066
1517145457917554,0.134338,-0.115601,0.973694,-0.142822
1517145457940587,0.134399,-0.115601,0.973694,-0.142822
1517145457962586,0.134399,-0.115601,0.973694,-0.142822
1517145457983656,0.13446,-0.11554,0.973694,-0.142822
1517145458007618,0.134521,-0.11554,0.973694,-0.142822
1517145458022631,0.134521,-0.115479,0.973694,-0.142822
1517145458037676,0.134583,-0.115479,0.973694,-0.142822
1517145458059711,0.134583,-0.115417,0.973694,-0.142822
1517145458082673,0.134644,-0.115417,0.973694,-0.142822
1517145458096682,0.134644,-0.115417,0.973694,-0.142822
1517145458119699,0.134521,-0.115417,0.973694,-0.142883
1517145458142726,0.134399,-0.11554,0.973694,-0.142944
1517145458156724,0.134277,-0.115662,0.973694,-0.142944
1517145458179739,0.134155,-0.115784,0.973694,-0.142944
1517145458202758,0.134033,-0.115967,0.973694,-0.142883
1517145458217821,0.133972,-0.116028,0.973694,-0.142883
1517145458239785,0.13385,-0.116028,0.973755,-0.142883
1517145458262833,0.133789,-0.116028,0.973755,-0.142944
1517145458284814,0.133789,-0.116028,0.973755,-0.142944
1517145458299825,0.133667,-0.116089,0.973755,-0.142883
1517145458322878,0.133667,-0.116211,0.973755,-0.142883
1517145458336852,0.133606,-0.116333,0.973755,-0.142883
1517145458359872,0.133545,-0.116394,0.973755,-0.142822
1517145458388888,0.133606,-0.116394,0.973755,-0.142822
1517145458403918,0.133606,-0.116333,0.973755,-0.142822
1517145458419911,0.133606,-0.116272,0.973755,-0.142822
1517145458442926,0.133667,-0.116272,0.973755,-0.142822
1517145458463940,0.133728,-0.116211,0.973755,-0.142822
1517145458479958,0.133789,-0.116272,0.973755,-0.142761
1517145458509975,0.134033,-0.116028,0.973694,-0.142822
1517145458523984,0.13446,-0.115967,0.973694,-0.142822
1517145458539994,0.134766,-0.115906,0.973633,-0.142822
1517145458563012,0.135193,-0.115906,0.973572,-0.142822
1517145458584081,0.135559,-0.115723,0.973511,-0.142822
1517145458600037,0.135864,-0.11554,0.973511,-0.142822
1517145458622071,0.13623,-0.115417,0.97345,-0.142883
1517145458644069,0.136597,-0.115173,0.97345,-0.142883
1517145458660082,0.136597,-0.115173,0.97345,-0.142822
1517145458683097,0.136658,-0.115173,0.97345,-0.142822
1517145458704112,0.136719,-0.115173,0.97345,-0.142822
1517145458720125,0.136719,-0.115173,0.97345,-0.142822
1517145458750144,0.13678,-0.115112,0.97345,-0.142822
1517145458764155,0.13678,-0.115112,0.97345,-0.142822
1517145458780165,0.136841,-0.115112,0.97345,-0.142822
1517145458802189,0.137024,-0.114746,0.97345,-0.1427
1517145458823195,0.137085,-0.114746,0.97345,-0.1427
1517145458840209,0.137146,-0.114685,0.97345,-0.1427
1517145458862233,0.137207,-0.114685,0.97345,-0.1427
1517145458885285,0.137207,-0.114685,0.97345,-0.1427
1517145458900252,0.137268,-0.114624,0.97345,-0.142639
1517145458922266,0.13739,-0.114624,0.97345,-0.142639
1517145458945282,0.137451,-0.114624,0.97345,-0.142639
1517145458960297,0.137451,-0.114563,0.97345,-0.142639
1517145458982312,0.137512,-0.114563,0.97345,-0.142639
1517145459005335,0.137512,-0.114563,0.97345,-0.142639
1517145459019335,0.137573,-0.114502,0.97345,-0.142639
